,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,Commune,Sous_Commune,Commune_Principale,Province,Region,median_terrace_area,median_garden_area,median_facade,type_num,APARTMENT,BUNGALOW,CASTLE,CHALET,COUNTRY_COTTAGE,DUPLEX,EXCEPTIONAL_PROPERTY,FARMHOUSE,FLAT_STUDIO,GROUND_FLOOR,HOUSE,KOT,LOFT,MANOR_HOUSE,MANSION,OTHER_PROPERTY,PENTHOUSE,SERVICE_FLAT,TOWN_HOUSE,TRIPLEX,VILLA,AS_NEW,GOOD,JUST_RENOVATED,TO_BE_DONE_UP,TO_RENOVATE,TO_RESTORE,BRUXELLES,VLAANDEREN,WALLONIE,ANVERS,BRABANT FLAMAND,BRABANT WALLON,BRUXELLES,FLANDRE-OCCIDENTALE,FLANDRE-ORIENTALE,HAINAUT,LIEGE,LIMBOURG,LUXEMBOURG,NAMUR
52,1420,HOUSE,HOUSE,295000.0,4,180.0,1,0,0,1,22.0,1,82.0,190.0,2.0,0,TO_RENOVATE,Braine-L'Alleud,Non,BRAINE-L'ALLEUD,BRABANT WALLON,WALLONIE,22.0,22.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
53,4051,HOUSE,HOUSE,235000.0,3,134.0,1,0,0,1,44.0,1,400.0,563.0,4.0,0,,Vaux-Sous-Chèvremont,Oui,CHAUDFONTAINE,LIEGE,WALLONIE,44.0,44.0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
54,4100,HOUSE,HOUSE,275000.0,5,300.0,1,0,0,1,25.0,1,280.0,355.0,2.0,0,GOOD,Seraing,Non,SERAING,LIEGE,WALLONIE,25.0,25.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
55,1000,APARTMENT,LOFT,750000.0,2,172.0,1,0,0,1,33.0,0,,,,0,AS_NEW,Bruxelles,Non,BRUXELLES,BRUXELLES,BRUXELLES,33.0,33.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
56,8620,APARTMENT,APARTMENT,675000.0,3,130.0,1,1,0,1,,1,,,,0,,Nieuwpoort,Non,NIEUWPOORT,FLANDRE-OCCIDENTALE,VLAANDEREN,16.0,200.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
57,4870,APARTMENT,APARTMENT,175000.0,2,100.0,1,0,0,0,,0,,,,0,AS_NEW,Forêt,Oui,TROOZ,LIEGE,WALLONIE,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
58,9200,HOUSE,HOUSE,277500.0,4,154.0,1,0,0,1,,1,242.0,481.0,3.0,0,,Dendermonde,Non,DENDERMONDE,FLANDRE-ORIENTALE,VLAANDEREN,16.0,16.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
59,8930,APARTMENT,PENTHOUSE,193600.0,2,82.0,1,0,0,1,10.0,1,12.0,,2.0,0,GOOD,Menen,Non,MENEN,FLANDRE-OCCIDENTALE,VLAANDEREN,10.0,10.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
60,4250,HOUSE,HOUSE,219000.0,3,163.0,1,0,0,1,24.0,1,950.0,1223.0,3.0,0,GOOD,Geer,Non,GEER,LIEGE,WALLONIE,24.0,24.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
62,9100,APARTMENT,APARTMENT,313000.0,3,130.0,1,0,0,1,9.0,0,,,3.0,0,GOOD,Sint-Niklaas,Non,SINT-NIKLAAS,FLANDRE-ORIENTALE,VLAANDEREN,9.0,9.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
63,8400,APARTMENT,APARTMENT,589000.0,3,116.0,1,0,1,0,,0,,,2.0,0,JUST_RENOVATED,Oostende,Non,OOSTENDE,FLANDRE-OCCIDENTALE,VLAANDEREN,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
64,2830,APARTMENT,APARTMENT,234000.0,3,106.0,1,0,0,0,,0,,,2.0,0,GOOD,Willebroek,Non,WILLEBROEK,ANVERS,VLAANDEREN,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
65,7090,HOUSE,VILLA,540000.0,3,185.0,1,0,0,1,25.0,1,,2222.0,4.0,0,GOOD,Braine-Le-Comte,Non,BRAINE-LE-COMTE,HAINAUT,WALLONIE,25.0,200.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
66,2180,HOUSE,HOUSE,540000.0,4,220.0,1,0,0,1,20.0,1,311.0,312.0,,0,AS_NEW,Ekeren,Oui,ANTWERPEN,ANVERS,VLAANDEREN,20.0,20.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
67,1420,HOUSE,VILLA,875000.0,6,302.0,1,0,0,1,,1,2500.0,3596.0,4.0,0,TO_BE_DONE_UP,Braine-L'Alleud,Non,BRAINE-L'ALLEUD,BRABANT WALLON,WALLONIE,16.0,16.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
68,8580,HOUSE,HOUSE,214000.0,3,125.0,0,0,0,0,,1,327.0,486.0,2.0,0,TO_BE_DONE_UP,Avelgem,Non,AVELGEM,FLANDRE-OCCIDENTALE,VLAANDEREN,16.0,16.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
69,6183,APARTMENT,APARTMENT,129000.0,2,117.0,1,0,0,1,,0,,,2.0,0,GOOD,Trazegnies,Oui,COURCELLES,HAINAUT,WALLONIE,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
70,1050,APARTMENT,PENTHOUSE,799000.0,3,164.0,1,0,0,1,20.0,0,,,,0,AS_NEW,Ixelles,Non,IXELLES,BRUXELLES,BRUXELLES,20.0,20.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
